,CODE,DATE,PX_LAST,PX_HIGH,PX_LOW,PX_MID,PX_OPEN,VOLUME,PX_SETTLE
3584,IBOV INDEX,2017-06-19,62014.0,62272.3,61619.9,,61619.9,283764000.0,
3585,IBOV INDEX,2017-06-20,60766.2,62010.6,60766.2,,62010.6,407861300.0,
3586,IBOV INDEX,2017-06-21,60761.7,61187.6,60543.6,,60783.1,337594300.0,
3587,IBOV INDEX,2017-06-22,61272.2,61353.6,60758.2,,60762.4,316178700.0,
3588,IBOV INDEX,2017-06-23,61087.1,61399.8,60991.6,,61272.2,292444500.0,
3589,IBOV INDEX,2017-06-26,62188.1,62251.0,61087.9,,61087.9,267962400.0,
3590,IBOV INDEX,2017-06-27,61675.5,62424.2,61580.4,,62188.3,337704500.0,
3591,IBOV INDEX,2017-06-28,62018.0,62057.3,61433.3,,61684.3,280320100.0,
3592,IBOV INDEX,2017-06-29,62239.0,62498.5,61689.4,,62009.9,300566600.0,
3593,IBOV INDEX,2017-06-30,62900.0,63037.6,62237.8,,62237.8,277131700.0,
3594,IBOV INDEX,2017-07-03,63279.6,63337.5,62900.9,,62900.9,215080500.0,
3595,IBOV INDEX,2017-07-04,63231.6,63345.6,63075.8,,63268.1,97841400.0,
3596,IBOV INDEX,2017-07-05,63154.2,63484.6,62708.3,,63215.2,326785700.0,
3597,IBOV INDEX,2017-07-06,62470.3,63188.3,62353.9,,63156.0,313268200.0,
3598,IBOV INDEX,2017-07-07,62322.4,62925.9,62035.1,,62474.4,298365900.0,
3599,IBOV INDEX,2017-07-10,63025.5,63135.4,62322.4,,62322.4,229279000.0,
3600,IBOV INDEX,2017-07-11,63832.2,63891.3,62907.7,,63026.8,264614000.0,
3601,IBOV INDEX,2017-07-12,64835.6,64937.9,63827.0,,63840.3,424355200.0,
3602,IBOV INDEX,2017-07-13,65178.4,65302.3,64854.3,,64854.3,321819400.0,
3603,IBOV INDEX,2017-07-14,65436.2,65624.4,65178.4,,65178.4,279546500.0,
3604,IBOV INDEX,2017-07-17,65212.3,65478.2,65119.2,,65431.3,232501200.0,
3605,IBOV INDEX,2017-07-18,65337.7,65337.7,64943.0,,65208.3,228202500.0,
3606,IBOV INDEX,2017-07-19,65179.9,65603.9,64873.9,,65337.0,270378100.0,
3607,IBOV INDEX,2017-07-20,64938.0,65505.4,64897.8,,65178.2,232257000.0,
3608,IBOV INDEX,2017-07-21,64684.2,65149.7,64599.2,,64936.0,219119900.0,
3609,IBOV INDEX,2017-07-24,65099.6,65104.4,64677.6,,64694.9,196794400.0,
3610,IBOV INDEX,2017-07-25,65667.6,65748.7,65101.3,,65101.3,282210300.0,
3611,IBOV INDEX,2017-07-26,65010.6,65873.0,64991.6,,65668.1,303334200.0,
3612,IBOV INDEX,2017-07-27,65277.4,65677.6,65012.9,,65012.9,256065800.0,
3613,IBOV INDEX,2017-07-28,65497.1,65497.1,64952.7,,65252.6,284604600.0,
3614,IBOV INDEX,2017-07-31,65920.4,66048.0,65502.5,,65502.5,265225100.0,
3615,IBOV INDEX,2017-08-01,66516.2,66605.8,65925.1,,65925.1,284804300.0,
3616,IBOV INDEX,2017-08-02,67136.0,67276.7,66304.8,,66503.9,382853300.0,
3617,IBOV INDEX,2017-08-03,66777.1,67256.0,66704.6,,67136.0,280659300.0,
3618,IBOV INDEX,2017-08-04,66898.0,67104.4,66525.2,,66783.2,244416200.0,
3619,IBOV INDEX,2017-08-07,67939.7,68043.4,66887.2,,66898.0,308947600.0,
3620,IBOV INDEX,2017-08-08,67898.9,68500.1,67671.3,,67936.4,323124100.0,
3621,IBOV INDEX,2017-08-09,67671.1,67894.5,67290.5,,67894.5,256488300.0,
3622,IBOV INDEX,2017-08-10,66992.1,67671.1,66649.6,,67671.1,290800100.0,
3623,IBOV INDEX,2017-08-11,67358.6,67623.4,66677.6,,66992.0,297935200.0,
3624,IBOV INDEX,2017-08-14,68284.7,68642.0,67226.3,,67363.7,280168400.0,
3625,IBOV INDEX,2017-08-15,68355.1,68846.1,68292.7,,68295.8,283833100.0,
3626,IBOV INDEX,2017-08-16,68594.3,68950.3,68304.3,,68356.3,386953300.0,
3627,IBOV INDEX,2017-08-17,67976.8,68595.7,67866.2,,68595.7,274406300.0,
3628,IBOV INDEX,2017-08-18,68714.7,68807.5,67979.3,,67990.0,357204900.0,
3629,IBOV INDEX,2017-08-21,68634.7,69068.3,68514.3,,68713.3,272493000.0,
3630,IBOV INDEX,2017-08-22,70011.3,70277.7,68644.9,,68644.9,402842000.0,
3631,IBOV INDEX,2017-08-23,70477.6,70586.9,69947.4,,70010.7,345197800.0,
3632,IBOV INDEX,2017-08-24,71132.8,71237.7,70482.4,,70482.4,320929200.0,
3633,IBOV INDEX,2017-08-25,71073.7,71505.7,70801.4,,71137.7,248558100.0,
3634,IBOV INDEX,2017-08-28,71016.6,71389.9,70908.6,,71073.7,226432300.0,
3635,IBOV INDEX,2017-08-29,71329.9,71329.9,70517.4,,71005.1,234509400.0,
3636,IBOV INDEX,2017-08-30,70886.3,71453.6,70755.4,,71328.0,274563700.0,
3637,IBOV INDEX,2017-08-31,70835.1,71234.0,70516.5,,70887.1,437639900.0,
3638,IBOV INDEX,2017-09-01,71923.1,72216.8,70846.0,,70848.2,400085000.0,
